applicant_id,age,employment_type,annual_income,years_employed,cibil_score,existing_loans_count,existing_emi_monthly,requested_loan_amount,loan_tenure_months,dependents,dti_ratio,previous_default,savings_balance,approved
TRAD-000074,51,Salaried,336000.0,14,707,2,9800.0,853000.0,120,4,0.604,0,145000.0,0
TRAD-000075,41,Salaried,864000.0,14,900,1,10800.0,1152000.0,120,2,0.283,0,29000.0,1
TRAD-000076,35,Business Owner,719000.0,19,667,2,9700.0,551000.0,12,1,0.928,1,384000.0,0
TRAD-000077,30,Salaried,821000.0,25,657,0,0.0,1176000.0,24,1,0.716,0,0.0,1
TRAD-000078,45,Salaried,135000.0,9,805,2,15000.0,898000.0,48,4,2.996,1,55000.0,0
TRAD-000079,50,Salaried,235000.0,16,812,0,0.0,441000.0,240,3,0.094,0,170000.0,1
TRAD-000080,62,Salaried,836000.0,7,619,1,8900.0,991000.0,240,2,0.187,0,493000.0,1
TRAD-000081,40,Salaried,120000.0,6,675,0,0.0,649000.0,120,3,0.541,0,994000.0,0
TRAD-000082,28,Self-Employed,993000.0,9,652,0,0.0,1301000.0,36,1,0.437,0,376000.0,1
TRAD-000083,57,Salaried,139000.0,22,707,0,0.0,1468000.0,240,3,0.528,1,42000.0,0
TRAD-000084,48,Self-Employed,886000.0,13,805,2,16700.0,1226000.0,120,4,0.365,0,130000.0,1
TRAD-000085,51,Salaried,401000.0,20,624,2,32800.0,50000.0,36,2,1.023,0,465000.0,0
TRAD-000086,25,Salaried,944000.0,20,804,0,0.0,273000.0,120,3,0.029,1,0.0,1
TRAD-000087,34,Salaried,1548000.0,10,710,0,0.0,486000.0,48,2,0.078,0,574000.0,1
TRAD-000088,54,Self-Employed,120000.0,28,900,0,0.0,382000.0,60,0,0.637,1,368000.0,1
TRAD-000089,57,Salaried,845000.0,1,730,1,8200.0,547000.0,36,0,0.332,0,269000.0,1
TRAD-000090,40,Salaried,144000.0,26,691,1,9800.0,1501000.0,84,1,2.306,0,0.0,0
TRAD-000091,56,Business Owner,769000.0,0,755,1,6100.0,1354000.0,36,1,0.682,0,530000.0,0
TRAD-000092,58,Self-Employed,592000.0,11,668,0,0.0,624000.0,240,0,0.053,0,110000.0,1
TRAD-000093,38,Salaried,686000.0,24,529,0,0.0,1285000.0,24,4,0.937,0,338000.0,0
TRAD-000094,60,Business Owner,395000.0,20,677,1,11200.0,1114000.0,36,3,1.28,0,261000.0,0
TRAD-000095,33,Salaried,869000.0,9,676,2,16800.0,879000.0,24,0,0.738,0,0.0,0
TRAD-000096,31,Salaried,244000.0,26,549,1,13400.0,1646000.0,36,4,2.908,0,242000.0,0
TRAD-000097,51,Salaried,998000.0,4,693,0,0.0,470000.0,120,1,0.047,0,0.0,1
TRAD-000098,49,Salaried,535000.0,20,504,1,7600.0,934000.0,240,4,0.258,0,137000.0,1
TRAD-000099,27,Salaried,257000.0,15,667,1,14800.0,217000.0,24,1,1.113,0,408000.0,0
TRAD-000100,57,Self-Employed,1097000.0,6,723,1,4600.0,248000.0,36,0,0.126,0,476000.0,1
TRAD-000101,29,Salaried,631000.0,27,709,2,4400.0,50000.0,24,0,0.123,0,295000.0,1
TRAD-000102,56,Business Owner,1184000.0,22,661,0,0.0,259000.0,180,1,0.015,0,79000.0,1
TRAD-000103,21,Business Owner,992000.0,0,692,0,0.0,954000.0,60,4,0.192,0,138000.0,1
TRAD-000104,56,Self-Employed,427000.0,2,626,0,0.0,703000.0,48,2,0.412,0,134000.0,0
TRAD-000105,55,Self-Employed,626000.0,1,701,1,6400.0,725000.0,120,0,0.238,0,0.0,0
TRAD-000106,55,Self-Employed,684000.0,12,706,0,0.0,706000.0,12,1,1.032,0,318000.0,0
TRAD-000107,50,Business Owner,1077000.0,12,614,3,27300.0,2052000.0,180,2,0.431,0,0.0,1
TRAD-000108,41,Salaried,773000.0,21,725,1,8500.0,161000.0,12,2,0.34,1,319000.0,0
TRAD-000109,52,Salaried,699000.0,20,725,1,5600.0,91000.0,84,4,0.115,0,0.0,1
TRAD-000110,33,Salaried,594000.0,0,684,0,0.0,350000.0,12,0,0.589,0,0.0,0
TRAD-000111,55,Salaried,636000.0,14,900,3,25200.0,853000.0,24,0,1.146,0,467000.0,1
TRAD-000112,45,Salaried,1015000.0,23,687,1,3700.0,1235000.0,84,3,0.218,0,306000.0,1
TRAD-000113,41,Self-Employed,651000.0,26,673,0,0.0,1302000.0,84,0,0.286,0,0.0,1
TRAD-000114,43,Salaried,539000.0,8,660,0,0.0,1514000.0,60,3,0.562,0,160000.0,1
TRAD-000115,46,Business Owner,492000.0,1,608,0,0.0,830000.0,84,1,0.241,0,365000.0,0
TRAD-000116,22,Salaried,495000.0,4,765,0,0.0,642000.0,180,1,0.086,0,145000.0,1
TRAD-000117,27,Salaried,257000.0,10,635,1,11500.0,1962000.0,36,0,3.0,0,214000.0,0
TRAD-000118,31,Salaried,440000.0,13,646,2,25800.0,50000.0,240,3,0.709,0,361000.0,0
TRAD-000119,26,Salaried,1070000.0,10,649,1,9200.0,941000.0,24,0,0.543,0,311000.0,1
TRAD-000120,40,Salaried,592000.0,2,606,2,23900.0,1180000.0,240,0,0.584,1,52000.0,0
TRAD-000121,50,Salaried,847000.0,10,534,0,0.0,2118000.0,240,2,0.125,0,306000.0,1
TRAD-000122,49,Salaried,120000.0,8,656,1,8900.0,50000.0,48,0,0.994,0,228000.0,0
TRAD-000123,41,Salaried,809000.0,14,783,1,9500.0,627000.0,12,0,0.916,0,731000.0,1
TRAD-000124,58,Salaried,605000.0,2,719,1,7400.0,50000.0,48,1,0.167,0,274000.0,1
TRAD-000125,45,Salaried,515000.0,23,848,0,0.0,50000.0,36,3,0.032,0,334000.0,1
TRAD-000126,24,Salaried,701000.0,12,771,0,0.0,767000.0,84,3,0.156,1,365000.0,1
TRAD-000127,54,Salaried,511000.0,9,750,0,0.0,1442000.0,36,4,0.941,1,219000.0,0
TRAD-000128,46,Salaried,120000.0,27,879,2,23100.0,1684000.0,12,4,3.0,0,120000.0,0
TRAD-000129,48,Salaried,908000.0,22,691,1,17000.0,554000.0,240,1,0.255,0,415000.0,1
TRAD-000130,45,Salaried,718000.0,4,706,4,52800.0,1333000.0,180,1,1.006,0,417000.0,0
TRAD-000131,45,Self-Employed,562000.0,4,699,0,0.0,771000.0,60,1,0.274,0,821000.0,1
TRAD-000132,24,Business Owner,379000.0,0,847,1,10800.0,1262000.0,180,0,0.564,0,486000.0,1
TRAD-000133,45,Business Owner,238000.0,16,700,0,0.0,1650000.0,240,0,0.347,0,490000.0,0
TRAD-000134,55,Salaried,713000.0,10,638,0,0.0,774000.0,240,2,0.054,0,479000.0,1
TRAD-000135,34,Salaried,1102000.0,11,756,3,51200.0,1600000.0,180,0,0.654,0,127000.0,1
TRAD-000136,47,Salaried,707000.0,15,622,0,0.0,112000.0,12,0,0.158,0,0.0,1
TRAD-000137,22,Self-Employed,263000.0,16,751,0,0.0,1327000.0,120,1,0.505,0,49000.0,0
TRAD-000138,36,Self-Employed,713000.0,0,739,1,9000.0,1572000.0,240,4,0.262,0,472000.0,1
TRAD-000139,40,Business Owner,635000.0,3,682,2,17600.0,1505000.0,24,2,1.518,0,655000.0,0
TRAD-000140,64,Business Owner,892000.0,23,754,1,3800.0,130000.0,12,1,0.197,0,484000.0,1
TRAD-000141,30,Salaried,820000.0,28,559,1,12600.0,766000.0,48,0,0.418,0,258000.0,1
TRAD-000142,33,Self-Employed,120000.0,25,715,2,7700.0,1096000.0,180,3,1.379,0,719000.0,0
TRAD-000143,38,Business Owner,803000.0,27,656,0,0.0,1188000.0,180,1,0.099,0,189000.0,1
TRAD-000144,64,Salaried,369000.0,13,900,4,54600.0,975000.0,84,4,2.153,0,13000.0,0
TRAD-000145,58,Business Owner,252000.0,24,715,0,0.0,1829000.0,240,0,0.363,0,363000.0,1
TRAD-000146,22,Salaried,597000.0,26,643,1,6300.0,58000.0,24,3,0.175,1,623000.0,0
TRAD-000147,31,Business Owner,765000.0,26,569,1,13000.0,744000.0,180,3,0.269,0,89000.0,0
TRAD-000148,57,Self-Employed,191000.0,4,824,0,0.0,50000.0,180,1,0.017,0,0.0,1
TRAD-000149,23,Salaried,847000.0,4,667,0,0.0,1304000.0,240,1,0.077,0,309000.0,1
TRAD-000150,58,Self-Employed,864000.0,12,625,3,43000.0,1261000.0,36,4,1.084,0,493000.0,0
TRAD-000151,33,Salaried,663000.0,15,732,1,8300.0,3077000.0,84,3,0.813,0,0.0,0
TRAD-000152,61,Self-Employed,407000.0,28,762,0,0.0,1567000.0,36,0,1.283,0,544000.0,1
TRAD-000153,33,Self-Employed,376000.0,9,760,1,4000.0,1115000.0,60,2,0.721,0,0.0,0
TRAD-000154,40,Self-Employed,937000.0,24,702,1,4200.0,1066000.0,240,3,0.111,0,481000.0,1
TRAD-000155,50,Business Owner,227000.0,26,715,0,0.0,694000.0,60,1,0.611,0,0.0,1
TRAD-000156,26,Salaried,948000.0,28,722,1,11200.0,985000.0,120,3,0.246,0,0.0,1
TRAD-000157,45,Salaried,604000.0,5,732,0,0.0,1080000.0,60,3,0.358,0,455000.0,1
TRAD-000158,43,Salaried,623000.0,7,740,0,0.0,50000.0,12,1,0.08,0,604000.0,1
TRAD-000159,55,Salaried,172000.0,6,804,0,0.0,1028000.0,24,0,2.988,0,298000.0,0
TRAD-000160,64,Salaried,609000.0,22,705,1,10800.0,966000.0,120,0,0.371,0,899000.0,1
TRAD-000161,50,Salaried,822000.0,20,622,1,3200.0,2040000.0,36,3,0.874,0,44000.0,0
TRAD-000162,39,Salaried,276000.0,12,686,1,8600.0,814000.0,36,3,1.357,0,41000.0,0
TRAD-000163,38,Salaried,790000.0,2,772,2,11300.0,402000.0,12,1,0.681,0,224000.0,1
TRAD-000164,39,Business Owner,675000.0,15,530,1,9400.0,1075000.0,180,2,0.273,0,213000.0,1
TRAD-000165,56,Salaried,470000.0,21,531,1,5300.0,948000.0,12,2,2.152,1,371000.0,0
TRAD-000166,35,Business Owner,889000.0,14,787,0,0.0,815000.0,60,4,0.183,0,114000.0,1
TRAD-000167,28,Salaried,120000.0,8,844,0,0.0,69000.0,36,2,0.192,0,442000.0,1
TRAD-000168,35,Salaried,747000.0,17,580,0,0.0,799000.0,240,2,0.053,0,436000.0,1
TRAD-000169,21,Salaried,1103000.0,19,710,0,0.0,524000.0,84,2,0.068,0,703000.0,1
TRAD-000170,25,Salaried,1053000.0,17,662,1,7700.0,759000.0,12,0,0.809,0,177000.0,1
TRAD-000171,24,Salaried,759000.0,26,675,2,23600.0,1376000.0,84,3,0.632,0,384000.0,1
TRAD-000172,54,Salaried,566000.0,9,729,0,0.0,462000.0,24,4,0.408,0,451000.0,1
TRAD-000173,52,Salaried,472000.0,18,577,1,4700.0,756000.0,84,0,0.348,0,298000.0,1
TRAD-000174,51,Salaried,565000.0,25,595,0,0.0,1252000.0,36,0,0.739,0,247000.0,0
TRAD-000175,41,Self-Employed,802000.0,6,671,0,0.0,725000.0,120,2,0.09,0,0.0,1
TRAD-000176,52,Salaried,424000.0,8,686,2,19500.0,2596000.0,60,3,1.776,0,321000.0,0
TRAD-000177,28,Business Owner,862000.0,1,593,3,14600.0,1062000.0,48,0,0.511,0,449000.0,0
TRAD-000178,60,Salaried,1247000.0,11,775,1,8600.0,93000.0,180,3,0.088,0,286000.0,1
TRAD-000179,43,Business Owner,633000.0,1,660,1,7600.0,354000.0,48,1,0.284,0,104000.0,1
TRAD-000180,62,Self-Employed,274000.0,22,660,3,26900.0,289000.0,36,0,1.53,0,0.0,0
TRAD-000181,27,Business Owner,273000.0,2,727,0,0.0,364000.0,60,0,0.267,0,413000.0,1
TRAD-000182,42,Business Owner,867000.0,20,688,0,0.0,1249000.0,180,2,0.096,0,308000.0,1
TRAD-000183,51,Salaried,633000.0,17,780,1,11000.0,181000.0,12,2,0.494,0,647000.0,1
TRAD-000184,42,Salaried,896000.0,29,611,0,0.0,685000.0,36,2,0.255,1,0.0,1
TRAD-000185,40,Salaried,501000.0,10,567,1,9900.0,1643000.0,84,3,0.706,0,182000.0,0
TRAD-000186,28,Business Owner,883000.0,10,671,0,0.0,562000.0,36,4,0.212,0,0.0,1
TRAD-000187,37,Self-Employed,606000.0,7,706,2,18200.0,1336000.0,120,4,0.581,1,556000.0,0
TRAD-000188,31,Salaried,445000.0,16,582,0,0.0,50000.0,12,3,0.112,0,610000.0,1
TRAD-000189,34,Business Owner,538000.0,6,568,2,14000.0,659000.0,36,2,0.721,0,781000.0,0
TRAD-000190,51,Salaried,315000.0,3,717,2,14800.0,324000.0,84,1,0.711,0,430000.0,0
TRAD-000191,48,Self-Employed,1207000.0,28,628,0,0.0,1095000.0,180,3,0.06,0,497000.0,1
TRAD-000192,47,Self-Employed,623000.0,20,562,1,7000.0,227000.0,48,3,0.226,0,409000.0,1
TRAD-000193,36,Salaried,830000.0,3,792,0,0.0,2245000.0,36,4,0.902,0,443000.0,1
TRAD-000194,63,Self-Employed,500000.0,18,640,0,0.0,50000.0,240,3,0.005,0,312000.0,1
TRAD-000195,24,Business Owner,355000.0,9,809,1,15000.0,1638000.0,60,0,1.43,0,455000.0,0
TRAD-000196,36,Salaried,585000.0,5,703,2,39400.0,1471000.0,24,2,2.065,0,835000.0,0
TRAD-000197,26,Salaried,958000.0,14,728,2,13500.0,1101000.0,180,3,0.246,0,355000.0,1
TRAD-000198,35,Salaried,504000.0,23,680,3,30500.0,935000.0,12,4,2.581,0,306000.0,0
TRAD-000199,63,Self-Employed,406000.0,0,448,2,26300.0,2106000.0,120,1,1.296,1,350000.0,0
TRAD-000200,37,Salaried,694000.0,10,592,0,0.0,2506000.0,240,4,0.181,1,263000.0,0
TRAD-000201,60,Business Owner,790000.0,27,688,1,5000.0,765000.0,84,1,0.214,0,362000.0,1
TRAD-000202,42,Business Owner,1110000.0,11,735,0,0.0,1003000.0,240,1,0.045,0,254000.0,1
TRAD-000203,51,Salaried,749000.0,2,530,0,0.0,541000.0,84,4,0.103,0,586000.0,1
TRAD-000204,41,Salaried,830000.0,12,695,2,20500.0,140000.0,84,0,0.32,0,561000.0,1
TRAD-000205,32,Self-Employed,851000.0,20,593,0,0.0,1201000.0,12,1,1.411,0,841000.0,0
TRAD-000206,54,Self-Employed,327000.0,29,722,0,0.0,1062000.0,24,4,1.624,0,294000.0,0
TRAD-000207,63,Salaried,380000.0,18,698,0,0.0,50000.0,120,4,0.013,0,372000.0,1
TRAD-000208,32,Salaried,347000.0,1,771,1,5100.0,1196000.0,120,0,0.521,0,362000.0,0
TRAD-000209,55,Salaried,277000.0,24,801,1,7000.0,1084000.0,84,4,0.862,1,350000.0,0
TRAD-000210,32,Business Owner,873000.0,23,744,0,0.0,509000.0,24,2,0.292,0,582000.0,1
TRAD-000211,52,Salaried,731000.0,19,782,1,11700.0,467000.0,12,4,0.831,0,0.0,1
TRAD-000212,55,Business Owner,672000.0,26,667,0,0.0,1175000.0,12,2,1.749,0,415000.0,0
TRAD-000213,40,Salaried,120000.0,23,900,0,0.0,1946000.0,24,2,3.0,0,799000.0,0
TRAD-000214,53,Business Owner,1226000.0,6,584,1,8400.0,1159000.0,24,1,0.555,1,641000.0,0
TRAD-000215,32,Salaried,400000.0,12,650,3,38900.0,1407000.0,240,2,1.343,0,612000.0,0
TRAD-000216,24,Salaried,1225000.0,15,786,2,19800.0,359000.0,180,2,0.213,0,511000.0,1
TRAD-000217,25,Business Owner,244000.0,14,772,2,33500.0,631000.0,24,2,2.941,0,151000.0,0
TRAD-000218,40,Business Owner,423000.0,19,746,1,12000.0,1295000.0,36,1,1.361,0,113000.0,0
TRAD-000219,60,Salaried,120000.0,21,764,1,9200.0,50000.0,240,2,0.941,0,114000.0,0
TRAD-000220,26,Salaried,751000.0,3,502,0,0.0,1035000.0,60,0,0.276,0,15000.0,0
TRAD-000221,41,Salaried,342000.0,17,851,0,0.0,1221000.0,36,4,1.19,0,537000.0,1
TRAD-000222,51,Salaried,350000.0,1,681,0,0.0,875000.0,36,2,0.833,0,667000.0,0
TRAD-000223,29,Salaried,266000.0,15,818,0,0.0,1108000.0,48,1,1.041,1,409000.0,0
TRAD-000224,52,Business Owner,868000.0,12,507,0,0.0,938000.0,60,4,0.216,0,501000.0,1
TRAD-000225,34,Salaried,849000.0,6,724,1,6900.0,496000.0,60,2,0.214,0,373000.0,1
TRAD-000226,56,Self-Employed,1157000.0,29,646,2,13700.0,134000.0,60,3,0.165,0,442000.0,1
TRAD-000227,46,Salaried,458000.0,7,754,1,8600.0,841000.0,84,4,0.488,0,0.0,0
TRAD-000228,45,Salaried,711000.0,1,730,0,0.0,1748000.0,36,4,0.82,0,379000.0,1
TRAD-000229,28,Self-Employed,289000.0,10,735,1,9000.0,1566000.0,60,1,1.457,0,194000.0,0
TRAD-000230,41,Salaried,556000.0,22,599,1,16000.0,676000.0,180,2,0.426,0,290000.0,1
TRAD-000231,58,Self-Employed,505000.0,0,695,1,11600.0,662000.0,48,4,0.603,0,356000.0,0
TRAD-000232,21,Salaried,780000.0,14,683,2,34900.0,614000.0,240,2,0.576,0,121000.0,1
TRAD-000233,54,Business Owner,935000.0,12,747,2,14500.0,614000.0,60,1,0.317,0,31000.0,1
TRAD-000234,42,Self-Employed,927000.0,25,794,0,0.0,1087000.0,48,2,0.293,1,114000.0,1
TRAD-000235,52,Business Owner,414000.0,0,714,1,7500.0,1587000.0,120,0,0.601,0,0.0,0
TRAD-000236,50,Salaried,930000.0,0,579,0,0.0,2371000.0,48,4,0.637,0,11000.0,0
TRAD-000237,40,Salaried,638000.0,16,710,1,17600.0,361000.0,48,2,0.472,0,46000.0,1
TRAD-000238,34,Salaried,559000.0,5,900,0,0.0,1323000.0,48,1,0.592,0,0.0,1
TRAD-000239,48,Salaried,452000.0,21,856,1,100.0,1253000.0,60,2,0.557,0,432000.0,1
TRAD-000240,27,Salaried,493000.0,8,417,1,6200.0,686000.0,12,0,1.542,0,75000.0,0
TRAD-000241,46,Salaried,1138000.0,16,706,0,0.0,233000.0,48,3,0.051,0,0.0,1
TRAD-000242,25,Salaried,736000.0,1,789,2,10400.0,1079000.0,120,2,0.316,0,200000.0,1
TRAD-000243,49,Salaried,699000.0,20,683,3,16700.0,2278000.0,36,0,1.373,0,22000.0,0
TRAD-000244,48,Salaried,577000.0,15,656,0,0.0,1075000.0,60,2,0.373,0,665000.0,1
TRAD-000245,24,Salaried,1335000.0,0,675,2,1600.0,388000.0,36,0,0.111,0,333000.0,1
TRAD-000246,54,Salaried,1015000.0,7,752,0,0.0,798000.0,240,1,0.039,0,0.0,1
TRAD-000247,39,Self-Employed,448000.0,1,591,1,1500.0,159000.0,36,4,0.158,0,442000.0,0
TRAD-000248,55,Salaried,573000.0,1,813,0,0.0,912000.0,120,3,0.159,0,321000.0,1
TRAD-000249,22,Salaried,590000.0,20,695,1,7700.0,1344000.0,120,2,0.384,1,240000.0,0
TRAD-000250,28,Salaried,691000.0,12,611,1,12300.0,450000.0,48,2,0.376,0,694000.0,1
TRAD-000251,42,Self-Employed,454000.0,24,807,2,20800.0,50000.0,240,2,0.555,0,56000.0,1
TRAD-000252,29,Salaried,773000.0,7,553,1,13700.0,1080000.0,240,0,0.283,0,559000.0,1
TRAD-000253,35,Self-Employed,1057000.0,21,647,0,0.0,574000.0,12,1,0.543,0,198000.0,1
TRAD-000254,50,Business Owner,282000.0,18,646,2,14300.0,412000.0,84,4,0.817,0,295000.0,0
TRAD-000255,27,Salaried,334000.0,19,900,1,10700.0,406000.0,24,4,0.992,0,113000.0,1
TRAD-000256,50,Business Owner,515000.0,24,635,0,0.0,1160000.0,240,0,0.113,1,128000.0,1
