applicant_id,age,occupation_type,monthly_upi_txn_count,monthly_upi_turnover,avg_daily_balance,cashflow_volatility,utility_payment_reliability,rent_payment_reliability,months_of_transaction_history,requested_loan_amount,alternate_credit_score,approved
THIN-000206,57,Vendor,160,106200.0,200.0,0.297,0.854,0.776,47,32000.0,538,1
THIN-000207,36,Shopkeeper,363,5000.0,8210.0,0.081,0.703,0.531,9,219000.0,543,1
THIN-000208,50,Shopkeeper,518,73200.0,33640.0,0.351,0.721,0.682,33,6000.0,552,1
THIN-000209,39,Vendor,99,5000.0,20790.0,0.361,0.518,0.562,12,43000.0,387,0
THIN-000210,42,Gig Worker,470,53700.0,10780.0,0.39,0.689,0.423,25,5000.0,486,0
THIN-000211,48,Freelancer,78,5000.0,11330.0,0.202,0.676,0.808,48,321000.0,532,1
THIN-000212,38,Shopkeeper,687,80700.0,12370.0,0.059,0.896,0.725,31,103000.0,688,1
THIN-000213,36,Shopkeeper,521,25000.0,14310.0,0.245,0.814,0.851,38,287000.0,602,1
THIN-000214,21,Freelancer,773,136700.0,200.0,0.025,0.668,0.78,42,98000.0,686,1
THIN-000215,32,Freelancer,347,130500.0,7680.0,0.466,0.916,0.818,24,17000.0,529,1
THIN-000216,31,Shopkeeper,427,88800.0,4480.0,0.378,0.866,0.641,35,122000.0,554,1
THIN-000217,37,Shopkeeper,253,91400.0,13540.0,0.035,0.865,0.544,7,168000.0,604,1
THIN-000218,37,Shopkeeper,565,33900.0,22130.0,0.2,0.505,0.918,11,210000.0,534,1
THIN-000219,32,Freelancer,792,65200.0,13200.0,0.155,0.811,0.65,33,5000.0,623,1
THIN-000220,26,Vendor,91,154100.0,3110.0,0.328,0.459,0.782,16,158000.0,445,1
THIN-000221,27,Vendor,529,83200.0,200.0,0.168,0.817,0.741,13,122000.0,555,1
THIN-000222,57,Vendor,737,125900.0,10320.0,0.084,0.815,0.625,41,190000.0,672,1
THIN-000223,21,Gig Worker,221,95800.0,8670.0,0.076,0.972,0.839,15,188000.0,630,1
THIN-000224,42,Shopkeeper,376,89200.0,4390.0,0.284,0.677,0.693,52,173000.0,563,1
THIN-000225,50,Vendor,769,91300.0,10340.0,0.667,0.748,0.652,32,201000.0,493,1
THIN-000226,51,Gig Worker,715,84600.0,10220.0,0.246,0.69,0.622,13,44000.0,521,1
THIN-000227,57,Vendor,547,101500.0,16000.0,0.023,0.741,0.523,20,61000.0,654,1
THIN-000228,27,Vendor,750,14000.0,9460.0,0.369,0.857,0.881,34,108000.0,558,1
THIN-000229,24,Vendor,647,125800.0,4390.0,0.08,0.992,0.67,8,40000.0,623,1
THIN-000230,35,Vendor,491,126300.0,21030.0,0.165,0.647,0.77,34,182000.0,624,1
THIN-000231,57,Shopkeeper,24,69000.0,5980.0,0.314,0.606,0.857,52,154000.0,507,1
THIN-000232,41,Gig Worker,513,79800.0,3850.0,0.559,0.9,0.41,35,40000.0,501,1
THIN-000233,46,Shopkeeper,178,97700.0,10300.0,0.417,0.694,0.655,58,5000.0,502,1
THIN-000234,20,Gig Worker,644,9000.0,7440.0,0.074,0.876,0.332,8,115000.0,557,1
THIN-000235,51,Gig Worker,705,61800.0,2910.0,0.773,0.807,0.498,23,150000.0,442,0
THIN-000236,46,Shopkeeper,787,136400.0,200.0,0.055,0.535,0.657,38,219000.0,641,1
THIN-000237,44,Shopkeeper,469,115000.0,12150.0,0.06,0.884,0.634,42,184000.0,695,1
THIN-000238,29,Gig Worker,439,68700.0,10460.0,0.523,0.628,0.541,46,5000.0,495,1
THIN-000239,51,Gig Worker,656,5000.0,7630.0,0.19,0.749,0.456,4,30000.0,479,1
THIN-000240,24,Vendor,613,56400.0,11550.0,0.527,0.785,0.823,49,42000.0,535,1
THIN-000241,44,Vendor,362,99000.0,15820.0,0.33,0.689,0.874,20,26000.0,533,1
THIN-000242,27,Vendor,536,77000.0,7470.0,0.066,0.667,0.835,27,142000.0,656,1
THIN-000243,26,Vendor,622,53700.0,8150.0,0.49,0.817,0.834,19,98000.0,501,0
THIN-000244,58,Vendor,461,117100.0,10670.0,0.104,0.878,0.533,55,205000.0,658,1
THIN-000245,40,Freelancer,569,138500.0,2190.0,0.282,0.799,0.456,5,166000.0,483,1
THIN-000246,19,Shopkeeper,146,122400.0,17940.0,0.481,0.75,0.807,11,151000.0,448,1
THIN-000247,52,Shopkeeper,384,90300.0,14800.0,0.205,0.572,0.621,29,252000.0,564,1
THIN-000248,51,Freelancer,622,151200.0,15110.0,0.474,0.665,0.69,53,136000.0,531,1
THIN-000249,21,Freelancer,449,79000.0,3710.0,0.632,0.955,0.378,13,28000.0,440,0
THIN-000250,37,Shopkeeper,172,114400.0,4050.0,0.576,0.743,0.761,55,175000.0,486,1
THIN-000251,27,Vendor,117,32100.0,1890.0,0.124,0.752,0.394,20,152000.0,515,1
THIN-000252,29,Gig Worker,219,61200.0,600.0,0.198,0.832,0.543,23,27000.0,527,1
THIN-000253,57,Gig Worker,217,172600.0,20000.0,0.208,0.676,0.92,31,143000.0,590,1
THIN-000254,37,Gig Worker,556,86700.0,200.0,0.473,0.641,0.615,11,77000.0,430,1
THIN-000255,27,Gig Worker,538,46600.0,200.0,0.234,0.634,0.722,50,177000.0,557,1
THIN-000256,40,Gig Worker,464,183000.0,18610.0,0.105,0.742,0.915,49,307000.0,686,1
THIN-000257,33,Vendor,371,163600.0,12490.0,0.22,0.799,0.632,32,5000.0,595,1
THIN-000258,36,Gig Worker,282,143900.0,4010.0,0.347,0.83,0.756,50,221000.0,558,1
THIN-000259,19,Shopkeeper,614,186300.0,200.0,0.124,0.88,0.363,31,69000.0,603,1
THIN-000260,41,Shopkeeper,168,83200.0,9170.0,0.077,0.879,0.708,24,177000.0,620,1
THIN-000261,36,Shopkeeper,587,76100.0,200.0,0.233,0.502,0.388,43,120000.0,519,1
THIN-000262,51,Vendor,320,140400.0,10480.0,0.548,0.949,0.663,8,5000.0,463,1
THIN-000263,49,Gig Worker,204,89000.0,6720.0,0.203,0.775,0.935,28,185000.0,581,1
THIN-000264,30,Vendor,501,88500.0,22270.0,0.193,0.566,0.867,22,109000.0,577,1
THIN-000265,30,Gig Worker,339,128200.0,8870.0,0.375,0.925,0.702,59,59000.0,568,1
THIN-000266,52,Freelancer,184,20200.0,11420.0,0.209,0.521,0.903,32,213000.0,542,1
THIN-000267,51,Vendor,31,67700.0,11160.0,0.165,0.675,0.738,19,51000.0,520,1
THIN-000268,20,Gig Worker,479,51800.0,8830.0,0.046,0.619,0.91,59,56000.0,689,1
THIN-000269,28,Gig Worker,99,44300.0,12720.0,0.216,0.864,0.793,56,65000.0,573,1
THIN-000270,32,Freelancer,241,149000.0,13480.0,0.072,0.342,0.756,50,57000.0,618,1
THIN-000271,44,Vendor,331,5000.0,7990.0,0.221,0.826,0.676,22,134000.0,530,1
THIN-000272,30,Freelancer,667,101400.0,6970.0,0.448,0.824,0.639,58,148000.0,540,1
THIN-000273,38,Freelancer,298,9200.0,11310.0,0.211,0.934,0.876,52,72000.0,602,1
